"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.15089117122805e-165,0.531513272892332,0.559,0.375,1.27050476968948e-160,"0","SEPTIN9"
5.33167613356737e-165,0.349750052111139,0.893,0.75,1.6319194309623e-160,"0","CCNI"
4.84665942128662e-160,0.338043664539743,0.75,0.565,1.48346551566741e-155,"0","SOD1"
1.9745587200295e-159,0.901298595152657,0.257,0.132,6.04372933026628e-155,"0","BCL2"
4.25021697319217e-157,0.55998812410083,0.535,0.361,1.30090641115466e-152,"0","CALM3"
1.2141230325155e-156,0.614470672841614,0.35,0.198,3.71618777792344e-152,"0","HIST1H1D"
5.78554707290299e-156,0.67070772792443,0.397,0.241,1.77084024807415e-151,"0","SNRPN"
3.03761329533384e-154,0.317355207537261,0.93,0.797,9.29752677435781e-150,"0","ATP5MC2"
7.77212614106628e-154,0.442383592604015,0.637,0.455,2.37889236925757e-149,"0","ZFAS1"
2.52101343880693e-153,0.554170813273206,0.436,0.271,7.71631793350025e-149,"0","ICAM2"
3.5296188624925e-153,0.446801802230509,0.521,0.34,1.08034574143171e-148,"0","PRMT2"
5.7786859511567e-153,0.735227566737781,0.268,0.139,1.76874019593004e-148,"0","TMEM173"
3.85888891392311e-152,0.469642704281377,0.7,0.527,1.18112871877359e-147,"0","ATP5PO"
9.89495330161809e-152,0.599234475071136,0.413,0.252,3.02864730655926e-147,"0","EPB41"
4.80062406459561e-151,0.678330900136839,0.372,0.225,1.46937501369143e-146,"0","CYLD"
2.15105980287096e-150,0.537135208959425,0.584,0.421,6.58396384462744e-146,"0","RSL1D1"
3.86962945229129e-148,0.441835861740887,0.718,0.55,1.18441618275732e-143,"0","ERP29"
2.64204271428063e-147,0.806708611801167,0.307,0.174,8.08676433987014e-143,"0","R3HDM4"
1.11497045353389e-146,0.440743348833015,0.565,0.394,3.41270156417654e-142,"0","PPP1R2"
1.93422394922117e-145,0.71015813195247,0.344,0.204,5.92027266377617e-141,"0","CCDC18-AS1"
5.40821418717122e-144,0.532594161759063,0.947,0.916,1.65534619840937e-139,"0","RPS26"
8.01227262775592e-144,0.70129159758905,0.373,0.23,2.45239640590353e-139,"0","ABHD14B"
2.18582831928859e-143,0.588636929692756,0.438,0.281,6.69038331967853e-139,"0","TSTD1"
3.66198620084683e-143,0.378031299479711,0.541,0.353,1.1208607363552e-138,"0","RCSD1"
3.87546252797018e-143,0.866730908637075,0.254,0.135,1.18620157056111e-138,"0","CRLF3"
2.48647337711732e-141,0.567433005695982,0.352,0.203,7.61059771268069e-137,"0","AAK1"
2.70636289411063e-141,0.472637109483255,0.536,0.364,8.2836355462938e-137,"0","PRDX2"
1.52498654074348e-140,0.440974848400912,0.666,0.5,4.66767880390766e-136,"0","ANAPC16"
8.71926190674405e-140,0.388589540450493,0.458,0.279,2.66879168441622e-135,"0","LCP2"
7.96739273262689e-139,0.31398869757124,0.403,0.242,2.43865956760244e-134,"0","PIM2"
2.14506546473055e-137,0.347263681221764,0.572,0.373,6.56561637444725e-133,"0","LBH"
6.2923075727505e-137,0.711563754838321,0.357,0.221,1.92594950186747e-132,"0","RPS10-NUDT3"
1.2983935941861e-136,0.533837176857168,0.521,0.365,3.9741231130848e-132,"0","CHURC1"
5.72867058749381e-135,0.815720299695468,0.271,0.151,1.75343149342011e-130,"0","SRSF8"
3.0253926809116e-132,0.354294903008751,0.505,0.324,9.26012191773421e-128,"0","BIN2"
7.32474207631005e-131,0.415030123831581,0.589,0.416,2.24195705471698e-126,"0","SEPTIN6"
7.58251650552671e-131,0.748913023409157,0.269,0.15,2.32085665201162e-126,"0","EGLN2"
6.10990827408721e-130,0.800463676963533,0.3,0.176,1.87012072453261e-125,"0","RPS10"
2.40445609996152e-129,0.580892746025202,0.256,0.136,7.35955923076224e-125,"0","SORL1"
6.36766872070218e-129,0.453647969739054,0.633,0.475,1.94901604203252e-124,"0","MZT2B"
1.30578516453048e-126,0.364054647618763,0.38,0.23,3.99674723159491e-122,"0","PBXIP1"
5.9761572919964e-126,0.808041745896162,0.263,0.149,1.82918222393426e-121,"0","ADSL"
9.82669052734484e-126,0.405164609603892,0.597,0.435,3.00775343660971e-121,"0","PNISR"
2.03474787632901e-125,0.549700927760134,0.477,0.331,6.22795629986783e-121,"0","FBL"
7.4627135961355e-125,0.480709727661885,0.482,0.326,2.28418737750515e-120,"0","MAT2B"
5.40380117713677e-123,0.373981234906966,0.653,0.486,1.65399546429802e-118,"0","VAMP2"
